date,rating,title_review,title_review_tokenized
2020-06-30 23:50:37,4,add pin option instead of face recognition or fingerprint due to pandemic we are required to wear mask for some phone thay uses only face recognition as easy authentication it is hard to do it in grocery stores it would be very useful to have an option for pin also gcash and coinsph has this,"['add', 'pin', 'option', 'instead', 'face', 'recognition', 'fingerprint', 'due', 'pandemic', 'require', 'wear', 'mask', 'phone', 'thay', 'use', 'face', 'recognition', 'easy', 'authentication', 'hard', 'grocery', 'store', 'would', 'useful', 'option', 'pin', 'also', 'coinsph']"
2020-07-01 08:32:37,4,yey I am happy that i got my account back although it took some time but still thankful they responded immediately,"['yey', 'I', 'happy', 'get', 'account', 'back', 'although', 'take', 'time', 'still', 'thankful', 'respond', 'immediately']"
2020-07-02 08:45:33,4,"so far so good i like the seamless way that this app
operates its easy to use and fast money transfer capabilities","['far', 'good', 'like', 'seamless', 'way', 'operate', 'easy', 'use', 'fast', 'money', 'transfer', 'capability']"
2020-07-08 06:38:16,5,its great i have a drivers license so upgrading my account was a piece of cake,"['great', 'driver', 'license', 'upgrading', 'account', 'piece', 'cake']"
2020-07-13 08:43:01,4,"great for online payments and transactions this app continuously improves to making it more secure than previous versions and helpful with payment of bills and loads 

however would like to ask for the following features to have a better experience
 otp before redeeming smart padala to recepient 
 notification once smart padala has been claimed and verified 
 running balance per transaction this would really be helpful for tracking transactions","['great', 'online', 'payment', 'transaction', 'continuously', 'improve', 'make', 'secure', 'previous', 'version', 'helpful', 'payment', 'bill', 'load', 'however', 'would', 'like', 'ask', 'following', 'feature', 'good', 'experience', 'otp', 'redeem', 'smart', 'padala', 'recepient', 'notification', 'smart', 'padala', 'claim', 'verify', 'run', 'balance', 'per', 'transaction', 'would', 'really', 'helpful', 'track', 'transaction']"
2020-07-14 12:06:42,5,meralco barcode scanner not working it is one of the best ewallets clean and convenient but the barcode scanner for meralco is not working properly please fix it as the meralcos reference number is too long to type and prone to human error thanks,"['meralco', 'barcode', 'scanner', 'work', 'one', 'best', 'ewallets', 'clean', 'convenient', 'barcode', 'scanner', 'meralco', 'work', 'properly', 'fix', 'meralcos', 'reference', 'number', 'long', 'type', 'prone', 'human', 'error', 'thanks']"
2020-07-16 06:51:35,5,little disappointed i refer 3 friends and they start using pay maya and upgraded their account already but i did not receive may free p50,"['little', 'disappointed', 'refer', 'friend', 'start', 'use', 'pay', 'maya', 'upgrade', 'account', 'already', 'receive', 'free']"
2020-07-22 14:42:46,5,great app it is pretty useful but i just have one problem it is hard to contact paymaya support most of the time i do not get replies when i email them i wait for one week and still no reply,"['great', 'pretty', 'useful', 'one', 'problem', 'hard', 'contact', 'support', 'time', 'get', 'reply', 'email', 'wait', 'one', 'week', 'still', 'reply']"
2020-08-05 03:57:33,5,easy peasy app most covenient if you use it with a smart mobile number  transfer to any bank and easy cash in of grabpay,"['easy', 'peasy', 'covenient', 'use', 'smart', 'mobile', 'number', 'transfer', 'bank', 'easy', 'cash', 'grabpay']"
2020-08-07 15:40:55,5,"very generous app convenient and generous in regards to promo specifically in balik bayad deals

keep up and more promos 

thanks paymaya","['generous', 'convenient', 'generous', 'regard', 'promo', 'specifically', 'balik', 'bayad', 'deal', 'keep', 'promos', 'thanks']"
